region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~
seoul,623745,781866,1460411,1475106,1528182,1523556,1243954,704076,278094,42683,6792
busan,232356,272014,430987,419014,511148,568913,531620,293299,115680,15028,1887
daegu,178226,225898,321534,294310,383839,425479,325957,175276,77665,9429,733
incheon,228634,274162,401546,406146,483977,512167,367879,177503,77504,12341,969
kwangju,119692,157144,209375,185867,240867,233822,163784,93541,39671,5875,424
daejeon,114529,146436,212488,194088,237216,241921,179153,91320,40519,5841,371
ulsan,98506,112420,144569,151705,187808,209521,145347,60168,22712,3086,175
sejong,47283,42677,37453,61492,68831,45205,30139,14392,7109,1200,50
kyeonggi,1145984,1328214,1807848,1907459,2299423,2234920,1532434,765815,348213,52389,4315
kangwon,105598,137508,180015,166349,224378,267815,241578,135459,72012,11264,864
chungbuk,123371,149379,199209,194677,241194,273800,223341,120519,65569,9209,569
chungnam,172628,202548,243200,268598,327791,340183,279372,171439,99965,14384,921
jeonbuk,128692,174963,211464,189012,268277,299522,255829,170340,91504,13645,856
jeonnam,132202,167308,200709,186064,259749,313679,272377,192906,109618,16067,870
kyungbuk,189561,225924,284163,291117,383508,459662,409250,241411,135047,18786,993
kyungnam,268766,324214,378436,399558,536223,582448,462731,245191,124648,17174,827
jeju,60297,70661,82746,82555,112376,112401,79761,45591,23892,4059,296
