region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~,,,,,,,,,,,,,,,,,,,,,,,,,,
seoul,"583,683","756,136","1,422,277","1,439,279","1,480,780","1,507,194","1,285,922","695,800","295,009","41,735","1,643",,,,,,,,,,,,,,,,,,,,,,,,,,
busan,"219,611","266,105","415,549","405,300","502,391","554,768","548,878","298,128","123,791","15,457",402,,,,,,,,,,,,,,,,,,,,,,,,,,
daegu,"167,823","218,537","308,921","284,865","372,555","419,444","342,291","177,828","82,781","10,122",245,,,,,,,,,,,,,,,,,,,,,,,,,,
incheon,"217,384","271,131","391,051","402,091","481,066","510,969","399,128","179,244","82,853","13,041",417,,,,,,,,,,,,,,,,,,,,,,,,,,
kwangju,"114,065","152,404","206,472","181,189","236,167","235,764","172,124","94,547","42,636","6,066",177,,,,,,,,,,,,,,,,,,,,,,,,,,
daejeon,"107,548","142,175","209,397","189,669","231,018","240,017","190,514","92,390","43,199","6,155",169,,,,,,,,,,,,,,,,,,,,,,,,,,
ulsan,"92,018","109,990","137,422","144,891","183,954","207,056","155,775","63,024","24,119","3,276",67,,,,,,,,,,,,,,,,,,,,,,,,,,
sejong,"47,063","45,794","38,510","61,719","72,764","48,876","33,522","14,775","7,557","1,288",27,,,,,,,,,,,,,,,,,,,,,,,,,,
kyeonggi,"1,099,927","1,321,005","1,798,269","1,900,447","2,296,173","2,274,844","1,669,601","773,573","374,488","55,363","1,760",,,,,,,,,,,,,,,,,,,,,,,,,,
kangwon,"100,971","133,885","175,424","162,817","219,422","264,586","260,158","132,627","76,586","11,658",358,,,,,,,,,,,,,,,,,,,,,,,,,,
chungbuk,"116,975","146,411","194,415","190,607","237,327","270,874","241,697","120,068","69,193","9,592",268,,,,,,,,,,,,,,,,,,,,,,,,,,
chungnam,"162,726","200,673","238,297","259,565","325,419","340,591","299,801","172,067","104,173","15,528",417,,,,,,,,,,,,,,,,,,,,,,,,,,
jeonbuk,"119,673","170,128","206,579","182,181","259,675","298,654","268,393","170,337","95,991","14,839",405,,,,,,,,,,,,,,,,,,,,,,,,,,
jeonnam,"123,712","163,148","193,735","178,428","252,254","312,463","284,871","191,022","115,490","17,216",464,,,,,,,,,,,,,,,,,,,,,,,,,,
kyungbuk,"178,515","221,964","276,021","279,475","377,180","454,427","433,047","244,151","140,963","20,313",553,,,,,,,,,,,,,,,,,,,,,,,,,,
kyungnam,"250,669","319,461","362,661","379,886","527,396","579,779","494,113","249,720","131,422","18,682",394,,,,,,,,,,,,,,,,,,,,,,,,,,
jeju,"57,987","70,369","80,923","81,026","111,251","114,905","84,877","45,783","25,230","4,213",195,,,,,,,,,,,,,,,,,,,,,,,,,,
