region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~,,
seoul,533058,746534,1380665,1425142,1439498,1490099,1311159,720855,330629,43651,1420,,
busan,202417,265215,389186,394343,491842,540194,560239,312297,138519,16714,436,,
daegu,154772,215628,288962,278574,360620,413876,355062,186823,91892,11426,246,,
incheon,206458,272529,371263,406924,481351,509573,430502,191090,91931,14228,489,,
kwangju,104384,149369,195616,175466,231717,238401,180963,96457,47506,6551,195,,
daejeon,100312,139408,202439,187591,224690,239649,200056,96329,47775,6773,192,,
ulsan,82908,109560,126181,138552,180417,203691,166392,68470,27316,3577,70,,
sejong,45440,49607,38107,60678,77194,52539,36633,15938,8201,1445,43,,
kyeonggi,1023072,1324705,1716816,1877554,2277910,2300892,1790601,820761,413508,60187,1913,,
kangwon,94214,130961,167320,159324,213609,260563,272371,139205,83111,12305,373,,
chungbuk,106931,145301,185968,186620,234423,268275,255628,124825,75237,10608,293,,
chungnam,149159,202070,229023,251520,326376,342929,319899,175151,110898,17806,502,,
jeonbuk,107464,166158,195143,174490,251194,298216,281587,168807,104452,16177,493,,
jeonnam,112226,160292,182524,171045,245776,310603,299433,187687,124433,18835,585,,
kyungbuk,160547,219610,255736,264967,366170,447264,450782,251671,152430,22447,581,,
kyungnam,223214,316873,332555,357363,514608,575494,522752,262463,140862,20743,442,,
jeju,53566,70455,76227,78884,110552,117718,90992,47148,26605,4695,273,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
